link,title,pubDate,description,thumbnail
https://www.cnnindonesia.com/nasional/20230919212803-12-1001174/ganjar-bicara-solusi-rempang-pemimpin-tertinggi-harus-turun-tangan,Ganjar Bicara Solusi Rempang: Pemimpin Tertinggi Harus Turun Tangan,2023-09-19T14:44:18.000Z,"Bakal calon presiden (bacapres) Ganjar Pranowo berbicara solusi terkait konflik di Pulau Rempang, Kepulauan Riau.",https://akcdn.detik.net.id/visual/2023/09/19/bicara-gagasan-bacapres-di-ugm-4_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/olahraga/20230919212349-142-1001171/klasemen-asian-games-timnas-indonesia-u-24-di-puncak,Klasemen Asian Games: Timnas Indonesia U-24 di Puncak,2023-09-19T14:41:32.000Z,"Timnas Indonesia U-24 kini berhak ke puncak klasemen Grup F Asian Games 2023 usai berhasil mengalahkan Kirgistan 2-0, Selasa (19/9).",https://akcdn.detik.net.id/visual/2023/09/19/timnas-indonesia-u-24-melawan-kirgistan-pada-pertandingan-pertama-grup-f-asian-games-2023_169.png?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919135958-20-1000921/baru-100-an-kk-di-rempang-mau-direlokasi-pendaftaran-diperpanjang,"Baru 100-an KK di Rempang Mau Direlokasi, Pendaftaran Diperpanjang",2023-09-19T14:40:04.000Z,Sebelumnya Menko Polhukam Mahfud MD mengatakan ada sekitar 1.200 KK yang akan direlokasi dari Rempang untuk proyek PSN Eco City itu.,https://akcdn.detik.net.id/visual/2023/09/17/jelang-pengusiran-warga-pulau-rempang-5_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919212551-617-1001173/prabowo-bantah-isu-cekik-wamen-saya-enggak-ngerti-ini-fitnah,"Prabowo Bantah Isu Cekik Wamen: Saya Enggak Ngerti, Ini Fitnah",2023-09-19T14:38:24.000Z,Bakal calon presiden Prabowo Subianto mengaku tak akan mempermasalahkan isu yang menuding dirinya menampar dan mencekik seorang wakil menteri di Istana.,https://akcdn.detik.net.id/visual/2023/09/19/prabowo-subianto-di-mata-najwa-1_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919211618-617-1001170/ganjar-jawab-mahasiswa-soal-pdip-kerap-diejek-anda-bisa-nilai-saya,Ganjar Jawab Mahasiswa soal PDIP Kerap Diejek: Anda Bisa Nilai Saya,2023-09-19T14:34:17.000Z,Ganjar memamerkan sejumlah kiprahnya saat di DPR dan saat jadi Gubernur Jateng saat menjawab pertanyaan mahasiswa soal PDIP yang kerap diejek.,https://akcdn.detik.net.id/visual/2023/09/19/bacapres-dari-pdip-dan-ppp-ganjar-pranowo-5_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/teknologi/20230919193415-199-1001124/asus-zenfone-10-meluncur-pekan-depan-cek-bocoran-spek-dan-harganya,"Asus Zenfone 10 Meluncur Pekan Depan, Cek Bocoran Spek dan Harganya",2023-09-19T14:32:16.000Z,"Asus segera meluncurkan ponsel terbarunya, Zenfone 10 pada Jumat (29/9). Berikut bocoran spesifikasinya.",https://akcdn.detik.net.id/visual/2023/09/19/asus-akan-luncurkan-zenfone-10-pekan-depan-beda-tipis-dengan-sebelumnya_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/olahraga/20230919205829-142-1001165/hari-spesial-hugo-samir-cetak-gol-debut-di-timnas-indonesia-u-24,Hari Spesial Hugo Samir Cetak Gol Debut di Timnas Indonesia U-24,2023-09-19T14:30:29.000Z,Hugo Samir merasakan hari yang spesial saat Timnas Indonesia U-24 mengalahkan Kirgistan 2-0 pada laga perdana grup F Asian Games 2023.,https://akcdn.detik.net.id/visual/2023/02/21/timnas-indonesia-u-20-kalahkan-fiji-u-20_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/hiburan/20230919170019-234-1001113/ferry-irawan-sebut-sudah-punya-pacar-baru-usai-cerai-dari-venna,Ferry Irawan Sebut Sudah Punya Pacar Baru Usai Cerai dari Venna,2023-09-19T14:25:01.000Z,Ferry Irawan mengaku sudah punya pacar usai bercerai dari Venna Melinda.,https://akcdn.detik.net.id/visual/2023/01/14/ferry-irawan-1_169.png?w=360&q=90
https://www.cnnindonesia.com/olahraga/20230919210445-142-1001167/erick-thohir-usai-indonesia-menang-rebut-tiket-16-besar-asian-games,Erick Thohir Usai Indonesia Menang: Rebut Tiket 16 Besar Asian Games,2023-09-19T14:19:22.000Z,Ketua Umum PSSI Erick Thohir membakar semangat Timnas Indonesia U-24 usai menang di laga pembuka Asian Games 2023 melawan Kirgistan.,https://akcdn.detik.net.id/visual/2023/09/19/timnas-indonesia-u-24-melawan-kirgistan-pada-pertandingan-pertama-grup-f-asian-games-2023-3_169.png?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919203515-617-1001152/anies-tak-ambil-pusing-soal-nomor-urut-capres-cawapres-pilpres-2024,Anies Tak Ambil Pusing soal Nomor Urut Capres-Cawapres Pilpres 2024,2023-09-19T14:19:08.000Z,"Anies Baswedan berharap ketika masa pendaftaran Pilpres 2024 dibuka, pihaknya bisa langsung mendaftar.",https://akcdn.detik.net.id/visual/2023/09/19/bicara-gagasan-bacapres-di-ugm_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919205559-12-1001163/kejagung-usut-korupsi-di-badan-pengelola-dana-perkebunan-kelapa-sawit,Kejagung Usut Korupsi di Badan Pengelola Dana Perkebunan Kelapa Sawit,2023-09-19T14:12:40.000Z,Kejaksaan Agung tengah mengusut kasus baru terkait kasus dugaan korupsi di Badan Pengelola Dana Perkebunan Kelapa Sawit periode 2015-2022.,https://akcdn.detik.net.id/visual/2022/03/08/kapuspenkum-ketut-sumedana_169.jpeg?w=360&q=90
